,precision,recall,f1-score,support
1,0.1,0.1111111111111111,0.10526315789473684,9.0
2,0.673469387755102,0.23076923076923078,0.34375,286.0
3,0.26865671641791045,0.3253012048192771,0.29427792915531337,166.0
4,0.18032786885245902,0.9361702127659575,0.3024054982817869,47.0
5,0.4338235294117647,0.6082474226804123,0.5064377682403434,97.0
6,0.7279411764705882,0.678082191780822,0.7021276595744681,146.0
7,0.09615384615384616,1.0,0.17543859649122806,5.0
8,0.7941176470588235,0.5625,0.6585365853658537,96.0
9,0.12121212121212122,1.0,0.21621621621621623,4.0
10,0.3250883392226148,0.4742268041237113,0.3857442348008386,194.0
11,0.6112469437652812,0.5091649694501018,0.5555555555555556,491.0
12,0.3404255319148936,0.13445378151260504,0.1927710843373494,119.0
13,0.6206896551724138,0.8780487804878049,0.7272727272727273,41.0
14,0.8958333333333334,0.6798418972332015,0.7730337078651686,253.0
15,0.4444444444444444,0.36363636363636365,0.4,77.0
16,0.95,1.0,0.9743589743589743,19.0
accuracy,0.4873170731707317,0.4873170731707317,0.4873170731707317,0.4873170731707317
macro avg,0.4739644088240998,0.5932221231481625,0.45707435596316,2050.0
weighted avg,0.5757132841579253,0.4873170731707317,0.49960008962238156,2050.0
